"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"GNR623","Gedam S.S.","16","11","11A-CR-G02-15:30:00-16:55:0011B-CR-G02-15:30:00-16:55:00"
"GNR627","Alok Porwal","15","14","14A-CR-G02-17:30:00-18:55:0014B-CR-G02-17:30:00-18:55:00"
"GNR639","Nagarajan R.","5","6","6A-CR-G02-11:05:00-12:30:006B-CR-G02-11:05:00-12:30:00"
"GNR653","Alok Porwal","14","13","13A-CR-G02-19:00:00-20:25:0013B-CR-G02-19:00:00-20:25:00"
"GNR653","Rao Y.S.","14","13","13B-CR-G02-19:00:00-20:25:0013A-CR-G02-19:00:00-20:25:00"
"GNR653","Avik Bhattacharya","14","13","13A-CR-G02-19:00:00-20:25:0013B-CR-G02-19:00:00-20:25:00"
"GNR805","Rao Y.S.","1","15","15B-CR-G02-19:00:00-20:25:0015A-CR-G02-19:00:00-20:25:00"
"GNR805","Avik Bhattacharya","1","15","15A-CR-G02-19:00:00-20:25:0015B-CR-G02-19:00:00-20:25:00"
"GP 401","Kumar Hemant Singh","16","3","3B-LT 005-11:35:00-12:30:003A-LT 005-10:35:00-11:30:003C-LT 005-08:30:00-09:25:00"
"GP 403","Mohan G.","19","1","1B-LT 005-09:30:00-10:25:001C-LT 005-10:35:00-11:30:001A-LT 005-08:30:00-09:25:00"
"GP 407","Mohan G.","17","L1","L1--14:00:00-16:55:00"
"GP 413","Prabhakar Naraga","16","2","2C-LT 005-11:35:00-12:30:002A-LT 005-09:30:00-10:25:002B-LT 005-10:35:00-11:30:00"
"GP 415","Patel S.C.","16","L2","L2--14:00:00-16:55:00"
"GP 503","Kumar Hemant Singh","20","2","2A-LT 006-09:30:00-10:25:002C-LT 006-11:35:00-12:30:002B-LT 006-10:35:00-11:30:00"
"GP 505","E. Chandrasekhar","20","6","6A-LT 006-11:05:00-12:30:006B-LT 006-11:05:00-12:30:00"
"GP 517","Bharath C. Shekar","21","4","4B-LT 005-08:30:00-09:25:004A-LT 005-11:35:00-12:30:004C-LT 005-09:30:00-10:25:00"
"GP 519","Vikram Vishal","20","L2","L2--14:00:00-16:55:00"
"GP 519","D. Ramakrishnan","20","L2","L2--14:00:00-16:55:00"
"GP 521","E. Chandrasekhar","20","L4","L4--14:00:00-16:55:00"
"GP 525","Kumar Hemant Singh","4","10","10A-LT 102-14:00:00-15:25:0010B-LT 102-14:00:00-15:25:00"
"GROUP MEETING (PB, SM) BOOKED BY PROF. P. BHARGAVA","","","",""
"GROUP MEETING BY PROF. APARNA SINGH","","","",""
"GS 407","Malay Mukul","31","4","4A-LT 004-11:35:00-12:30:004C-LT 004-09:30:00-10:25:004B-LT 004-08:30:00-09:25:00"
"GS 413","Malay Mukul","30","L1","L1--14:00:00-16:55:00"
"GS 415","Mathew George","34","1","1A-LT 004-08:30:00-09:25:001C-LT 004-10:35:00-11:30:001B-LT 004-09:30:00-10:25:00"
"GS 421","Saraswati P.K.","33","2","2C-LT 105-11:35:00-12:30:002A-LT 105-09:30:00-10:25:002B-LT 105-10:35:00-11:30:00"
"GS 421","Jahnavi Punekar","33","2","2A-LT 105-09:30:00-10:25:002B-LT 105-10:35:00-11:30:002C-LT 105-11:35:00-12:30:00"
"GS 433","Jahnavi Punekar","30","",""
"GS 435","Mathew George","31","L2","L2--14:00:00-16:55:00"
"GS 507","Vikram Vishal","54","12","12A-LC 002-17:30:00-18:55:0012B-LC 002-17:30:00-18:55:00"
"GS 507","D. Ramakrishnan","54","12","12A-LC 002-17:30:00-18:55:0012B-LC 002-17:30:00-18:55:00"
"GS 517","Mohan G.","35","6","6B-LT 005-11:05:00-12:30:006A-LT 005-11:05:00-12:30:00"
"GS 517","M. Radhakrishna","35","6","6A-LT 005-11:05:00-12:30:006B-LT 005-11:05:00-12:30:00"
"GS 519","Pandalai H.S.","35","L3","L3--14:00:00-16:55:00"
"GS 519","Jadhav G.N.","35","L3","L3--14:00:00-16:55:00"
"GS 527","Jadhav G.N.","34","4","4C-LT 006-09:30:00-10:25:004B-LT 006-08:30:00-09:25:004A-LT 006-11:35:00-12:30:00"
"GS 535","Pandalai H.S.","56","1","1C-LT 102-10:35:00-11:30:001A-LT 102-08:30:00-09:25:001B-LT 102-09:30:00-10:25:00"
"GS 537","Prabhakar Naraga","40","3","3C-LT 006-08:30:00-09:25:003B-LT 006-11:35:00-12:30:003A-LT 006-10:35:00-11:30:00"
"GS 537","Sheth C Hetu","40","3","3A-LT 006-10:35:00-11:30:003C-LT 006-08:30:00-09:25:003B-LT 006-11:35:00-12:30:00"
"GS 539","D. Ramakrishnan","34","L2","L2--14:00:00-16:55:00"
"GS 539","Vikram Vishal","34","L2","L2--14:00:00-16:55:00"
"GS 541","Patel S.C.","34","L4","L4--14:00:00-16:55:00"
"GS 647","Pande Kanchan","4","1","1B-LT 006-09:30:00-10:25:001C-LT 006-10:35:00-11:30:001A-LT 006-08:30:00-09:25:00"
"GS 649","Biswal T.K.","31","2","2A-LT 302-09:30:00-10:25:002C-LT 302-11:35:00-12:30:002B-LT 302-10:35:00-11:30:00"
"GS 663","M. Radhakrishna","10","11","11A-LT 005-15:30:00-16:55:0011B-LT 005-15:30:00-16:55:00"
"GS 671","D. Ramakrishnan","13","8","8A-LT 006-14:00:00-15:25:008B-LT 006-14:00:00-15:25:00"
"GS 673","Jadhav G.N.","14","7","7A-LT 005-08:30:00-09:25:007B-LT 005-08:30:00-09:25:00"
"GS 675","Banerjee Santanu","24","6","6B-LT 304-11:05:00-12:30:006A-LT 304-11:05:00-12:30:00"
"GS 679","Saraswati P.K.","12","1","1C-LT 003-10:35:00-11:30:001B-LT 003-09:30:00-10:25:001A-LT 003-08:30:00-09:25:00"
"GS 679","Banerjee Santanu","12","1","1C-LT 003-10:35:00-11:30:001B-LT 003-09:30:00-10:25:001A-LT 003-08:30:00-09:25:00"
"GS 681","Singh Trilok Nath","11","9","9B-LT 006-15:30:00-16:55:009A-LT 006-15:30:00-16:55:00"
"GS 681","Vikram Vishal","11","9","9B-LT 006-15:30:00-16:55:009A-LT 006-15:30:00-16:55:00"
"GS 687","Biswal T.K.","20","LX","LX--14:00:00-16:55:00"
"GS 688","Suryendu Dutta","7","8","8B-LT 005-14:00:00-15:25:008A-LT 005-14:00:00-15:25:00"
"GS 689","Pande Kanchan","4","",""
"GS 694","Singh Trilok Nath","16","",""
"GS 701","Bharath C. Shekar","9","3","3C-LT 103-08:30:00-09:25:003A-LT 103-10:35:00-11:30:003B-LT 103-11:35:00-12:30:00"
"GS 709","Vikram Vishal","22","5",""
"GS 792","Patel S.C.","52","12","12A-LT 103-17:30:00-18:55:0012B-LT 103-17:30:00-18:55:00"
"GS 815","Banerjee Santanu","1","9","9A-LT 005-15:30:00-16:55:009B-LT 005-15:30:00-16:55:00"
"GS 827","Mohan G.","1","2","2B-LT 106-10:35:00-11:30:002C-LT 106-11:35:00-12:30:002A-LT 106-09:30:00-10:25:00"
"GS 831","M. Radhakrishna","2","10","10A-LT 005-14:00:00-15:25:0010B-LT 005-14:00:00-15:25:00"
"GS 859","Jadhav G.N.","1","",""
"HELP SESSION - ANMOL GUPTA, HEAD STUDENT SUPPORT SERVICES","","","",""
"HS 101","Surajit Bhattacharya","211","2","2B-LH 101-10:35:00-11:30:002A-LH 101-09:30:00-10:25:002C-LH 101-11:35:00-12:30:00"
"HS 101","Neha Gupta","228","2","2A-LA 302-09:30:00-10:25:002B-LA 302-10:35:00-11:30:002C-LA 302-11:35:00-12:30:00"
"HS 101","Conan Mukherjee","216","2","2C-LA 301-11:35:00-12:30:002B-LA 301-10:35:00-11:30:002A-LA 301-09:30:00-10:25:00"
"HS 101","Tara S. Shaw","228","2","2A-LA 302-09:30:00-10:25:002B-LA 302-10:35:00-11:30:002C-LA 302-11:35:00-12:30:00"
"HS 101","Narayanan K.","211","2","2A-LH 101-09:30:00-10:25:002B-LH 101-10:35:00-11:30:002C-LH 101-11:35:00-12:30:00"
"HS 200","Parthasarathy D.","191","4","4A-LA 302-11:35:00-12:30:004B-LA 302-08:30:00-09:25:004C-LA 302-09:30:00-10:25:00"
"HS 200","Bhat P. R.","269","1","1C-LA 302-10:35:00-11:30:001B-LA 302-09:30:00-10:25:001A-LA 302-08:30:00-09:25:00"
"HS 200","Narayanan K.","269","1","1C-LA 302-10:35:00-11:30:001B-LA 302-09:30:00-10:25:001A-LA 302-08:30:00-09:25:00"
"HS 200","Bhat P. R.","191","4","4C-LA 302-09:30:00-10:25:004A-LA 302-11:35:00-12:30:004B-LA 302-08:30:00-09:25:00"
"HS 200","Neha Gupta","191","4","4A-LA 302-11:35:00-12:30:004B-LA 302-08:30:00-09:25:004C-LA 302-09:30:00-10:25:00"
"HS 200","Parthasarathy D.","269","1","1C-LA 302-10:35:00-11:30:001B-LA 302-09:30:00-10:25:001A-LA 302-08:30:00-09:25:00"
"HS 208","Shastri Sudha","2","5","5B-LT 201-09:30:00-10:55:005A-LT 201-09:30:00-10:55:00"
"HS 208","Suddhaseel Sen","24","5","5B-LT 201-09:30:00-10:55:005A-LT 201-09:30:00-10:55:00"
"HS 208","Shastri Sudha","24","5","5A-LT 201-09:30:00-10:55:005B-LT 201-09:30:00-10:55:00"
"HS 208","Suddhaseel Sen","2","5","5A-LT 201-09:30:00-10:55:005B-LT 201-09:30:00-10:55:00"
"HS 301","Amrita Banerjee","94","3","3C-LA 101-08:30:00-09:25:003A-LA 101-10:35:00-11:30:003B-LA 101-11:35:00-12:30:00"
"HS 303","A. Khan","288","3","3A-LA 102-10:35:00-11:30:003B-LA 102-11:35:00-12:30:003C-LA 102-08:30:00-09:25:00"
"HS 307","Suryakant Waghmore","58","3","3C-LA 301-08:30:00-09:25:003B-LA 301-11:35:00-12:30:003A-LA 301-10:35:00-11:30:00"
"HS 307","Anush Kapadia","189","3","3A-LH 302-10:35:00-11:30:003B-LH 302-11:35:00-12:30:003C-LH 302-08:30:00-09:25:00"
"HS 309","Sarma Vaijayanthi","300","3","3B-LA 302-11:35:00-12:30:003C-LA 302-08:30:00-09:25:003A-LA 302-10:35:00-11:30:00"
"HS 408","Shastri Sudha","15","2","2C-SIC301-11:35:00-12:30:002A-SIC301-09:30:00-10:25:002B-SIC301-10:35:00-11:30:00"
"HS 420","R.K. Panda","17","2","2A-HS-130-B-09:30:00-10:25:002B-HS-130-B-10:35:00-11:30:002C-HS-130-B-11:35:00-12:30:00"
"HS 436","Kulkarni A Malhar","36","2","2A-HS-130-C-09:30:00-10:25:002B-HS-130-C-10:35:00-11:30:002C-HS-130-C-11:35:00-12:30:00"
"HS 443","Vikram Singh Sirola","4","2","2C-SIC305-11:35:00-12:30:002A-SIC305-09:30:00-10:25:002B-SIC305-10:35:00-11:30:00"
"HS 454","Gupta Meenakshi","54","2","2C-LT 003-11:35:00-12:30:002B-LT 003-10:35:00-11:30:002A-LT 003-09:30:00-10:25:00"
"HS 467","Ratikanta Panda","29","2","2C-LT 004-11:35:00-12:30:002A-LT 004-09:30:00-10:25:002B-LT 004-10:35:00-11:30:00"
"HS 468","Pravesh Jung Golay","55","2","2B-LT 102-10:35:00-11:30:002A-LT 102-09:30:00-10:25:002C-LT 102-11:35:00-12:30:00"
"HS 468","Bhat P. R.","55","2","2A-LT 102-09:30:00-10:25:002C-LT 102-11:35:00-12:30:002B-LT 102-10:35:00-11:30:00"
"HS 487","Surajit Bhattacharya","47","2","2A-SMA113-09:30:00-10:25:002B-SMA113-10:35:00-11:30:002C-SMA113-11:35:00-12:30:00"
"HS 487","Trivedi Pushpa","47","2","2B-SMA113-10:35:00-11:30:002A-SMA113-09:30:00-10:25:002C-SMA113-11:35:00-12:30:00"
"HS 490","Pooja Purang","30","5","5A-LC 302-09:30:00-10:55:005B-LC 302-09:30:00-10:55:00"
"HS 494","Ahonaa Roy","25","2","2B-LT 104-10:35:00-11:30:002A-LT 104-09:30:00-10:25:002C-LT 104-11:35:00-12:30:00"
"HS 494- PROF. AHONAA ROY, HSS","","","",""
"HS 601","Parthasarathy D.","45","10","10A-LC 001-14:00:00-15:25:0010B-LC 001-14:00:00-15:25:00"
"HS 601","Trivedi Pushpa","45","10","10A-LC 001-14:00:00-15:25:0010B-LC 001-14:00:00-15:25:00"
"HS 603","Kushal Deb","31","11","11B-HS-130-C-15:30:00-16:55:0011A-HS-130-C-15:30:00-16:55:00"
"HS 603","Gupta Meenakshi","31","11","11A-HS-130-C-15:30:00-16:55:0011B-HS-130-C-15:30:00-16:55:00"
"HS 605","Pooja Purang","36","9","9A-LT 103-15:30:00-16:55:009B-LT 103-15:30:00-16:55:00"
"HS 605","Ramesh Bairy","36","9","9B-LT 103-15:30:00-16:55:009A-LT 103-15:30:00-16:55:00"
"HS 615","Tara S. Shaw","40","14","14B-HS-130-C-17:30:00-18:55:0014A-HS-130-C-17:30:00-18:55:00"
"HS 615","Neha Gupta","40","14","14A-HS-130-C-17:30:00-18:55:0014B-HS-130-C-17:30:00-18:55:00"
"HS 626","Ramesh Bairy","16","6","6A-LT 305-11:05:00-12:30:006B-LT 305-11:05:00-12:30:00"
"HS 629","Sarmistha Pattanaik","17","6","6B-HS-130-B-11:05:00-12:30:006A-HS-130-B-11:05:00-12:30:00"
"HS 637","Robinson Rowena","28","10","10B-HS-130-C-14:00:00-15:25:0010A-HS-130-C-14:00:00-15:25:00"
"HS 706","Rajkishore Nath","21","6","6B-SIC205-11:05:00-12:30:006A-SIC205-11:05:00-12:30:00"
"HS 791","Ambarish Kunwar","455","4","4B-CONVO-08:30:00-09:25:00"
"HS 791","Virendra Sethi","349","4","4A-CONVO-11:35:00-12:30:00"
"HS 791","Parthasarathy D.","349","4","4A-CONVO-11:35:00-12:30:00"
"HS 791","P.Sunthar","455","4","4B-CONVO-08:30:00-09:25:00"
"HS 791","Ambarish Kunwar","349","4","4A-CONVO-11:35:00-12:30:00"
"HS 791","P.Sunthar","349","4","4A-CONVO-11:35:00-12:30:00"
"HS 791","Parthasarathy D.","455","4","4B-CONVO-08:30:00-09:25:00"
"HS 791","Virendra Sethi","455","4","4B-CONVO-08:30:00-09:25:00"
"HS 792","Suryakant Waghmore","26","4","4C-HS-130-B-09:30:00-10:25:004B-HS-130-B-08:30:00-09:25:004A-HS-130-B-11:35:00-12:30:00"
"HS 800","Ramesh Bairy","22","9","9B-HS-130-C-15:30:00-16:55:009A-HS-130-C-15:30:00-16:55:00"
"HS 800","Parthasarathy D.","22","9","9A-HS-130-C-15:30:00-16:55:009B-HS-130-C-15:30:00-16:55:00"
"HS 800","Robinson Rowena","22","9","9B-HS-130-C-15:30:00-16:55:009A-HS-130-C-15:30:00-16:55:00"
"HS 802","Surajit Bhattacharya","9","11","11A-HS-130-B-15:30:00-16:55:0011B-HS-130-B-15:30:00-16:55:00"
"HS 802","Conan Mukherjee","9","11","11A-HS-130-B-15:30:00-16:55:0011B-HS-130-B-15:30:00-16:55:00"
"HS 802","Narayanan K.","9","11","11B-HS-130-B-15:30:00-16:55:0011A-HS-130-B-15:30:00-16:55:00"
"HS 806","Rajkishore Nath","2","9","9B-HS-130-D-15:30:00-16:55:009A-HS-130-D-15:30:00-16:55:00"
"HS 806","Ratikanta Panda","2","9","9A-HS-130-D-15:30:00-16:55:009B-HS-130-D-15:30:00-16:55:00"
"HS 808","Pravesh Jung Golay","8","11","11B-HS-130-D-15:30:00-16:55:0011A-HS-130-D-15:30:00-16:55:00"
"HS 813","Sarma Vaijayanthi","2","13","13A-HS-130-B-19:00:00-20:25:0013B-HS-130-B-19:00:00-20:25:00"
"HS 824","Ratheesh R.","12","3","3C-HS-130-D-08:30:00-09:25:003B-HS-130-D-11:35:00-12:30:003A-HS-130-D-10:35:00-11:30:00"
"HS 828","Arun A. Iyer","8","12","12B-LT 005-17:30:00-18:55:0012A-LT 005-17:30:00-18:55:00"
"HS 831","Kushal Deb","17","12","12B-HS-130-C-17:30:00-18:55:0012A-HS-130-C-17:30:00-18:55:00"
"HS 834","Sharmila","7","12","12B-HS-130-B-17:30:00-18:55:0012A-HS-130-B-17:30:00-18:55:00"
"HS 837","Sharmistha Saha","8","8","8A-LC 101-14:00:00-15:25:008B-LC 101-14:00:00-15:25:00"
"HS 841","C.D. Sebastian","5","10","10A-HS-130-B-14:00:00-15:25:0010B-HS-130-B-14:00:00-15:25:00"
"HS 856","Siby K.George","8","14","14A-HS-130-D-17:30:00-18:55:0014B-HS-130-D-17:30:00-18:55:00"
"HSS801","C.D. Sebastian","25","",""
"IE 501","Rangaraj Narayan","25","5","5B-LT 206-09:30:00-10:55:005A-LT 206-09:30:00-10:55:00"
"IE 501","Rangaraj Narayan","32","5","5A-LT 206-09:30:00-10:55:005B-LT 206-09:30:00-10:55:00"
"IE 503","J. Venkateswaran","29","4","4A-LC 302-11:35:00-12:30:004B-LC 302-08:30:00-09:25:004C-LC 302-09:30:00-10:25:00"
"IE 503","J. Venkateswaran","26","4","4C-LC 302-09:30:00-10:25:004A-LC 302-11:35:00-12:30:004B-LC 302-08:30:00-09:25:00"
"IE 505","Venkatasailanathan Ramadesigan","12","3","3C-LT 101-08:30:00-09:25:003A-LT 101-10:35:00-11:30:003B-LT 101-11:35:00-12:30:00"
"IE 505","Ashutosh  Mahajan","12","3","3A-LT 101-10:35:00-11:30:003B-LT 101-11:35:00-12:30:003C-LT 101-08:30:00-09:25:00"
"IE 507","K.S.Mallikarjuna Rao","40","","LX-LC 002-14:00:00-16:55:00"
"IE 507","J. Venkateswaran","40","","LX-LC 002-14:00:00-16:55:00"
"IE 601","V. Narayanan","2","5","5B-SMA206-09:30:00-10:55:005A-SMA206-09:30:00-10:55:00"
"IE 601","I08080 - Vishnu Narayanan","","","8A-SMA210-14:00:00-15:25:00"
"IE 601","V. Narayanan","56","5","5B-SMA206-09:30:00-10:55:005A-SMA206-09:30:00-10:55:00"
"IE 605","N. Hemachandra","14","6","6B-LT 306-11:05:00-12:30:006A-LT 306-11:05:00-12:30:00"
"IE 605","I97053 - Nandyala   Hemachandra","","","8B-LT 203-14:00:00-15:25:00"
"IE 611","I16005 - Manjesh K. Hanawal","","","14A-LT 204-17:30:00-18:55:00"
"IE 611","Manjesh K. Hanawal","49","9","9A-LT 206-15:30:00-16:55:009B-LT 206-15:30:00-16:55:00"
"IE 611","Manjesh K. Hanawal","0","9","9B-LT 206-15:30:00-16:55:009A-LT 206-15:30:00-16:55:00"
"IE 612","Veeraruna Kavitha","3","11","11B-LT 203-15:30:00-16:55:0011A-LT 203-15:30:00-16:55:00"
"IE 612","Veeraruna Kavitha","41","11","11B-LT 203-15:30:00-16:55:0011A-LT 203-15:30:00-16:55:00"
"IE 615","Manjesh K. Hanawal","19","1","1C-SMA206-10:35:00-11:30:001B-SMA206-09:30:00-10:25:001A-SMA206-08:30:00-09:25:00"
"IE 615","N. Hemachandra","19","1","1A-SMA206-08:30:00-09:25:001B-SMA206-09:30:00-10:25:001C-SMA206-10:35:00-11:30:00"
"IE 651","Awate P.G.","2","2","2A-LT 301-09:30:00-10:25:002B-LT 301-10:35:00-11:30:002C-LT 301-11:35:00-12:30:00"
"IE 651","Awate P.G.","31","2","2B-LT 301-10:35:00-11:30:002A-LT 301-09:30:00-10:25:002C-LT 301-11:35:00-12:30:00"
"IE 689","J. Venkateswaran","9","",""
"IE 695","Ashutosh  Mahajan","5","",""
"IE 714","Rangaraj Narayan","34","6","6B-LT 205-11:05:00-12:30:006A-LT 205-11:05:00-12:30:00"
"IE 714","K.S.Mallikarjuna Rao","34","6","6A-LT 205-11:05:00-12:30:006B-LT 205-11:05:00-12:30:00"
"IE 792","Ashutosh  Mahajan","13","8","8B-LT 302-14:00:00-15:25:008A-LT 302-14:00:00-15:25:00"
"IE 802","K.S.Mallikarjuna Rao","5","12","12A-LT 204-17:30:00-18:55:0012B-LT 204-17:30:00-18:55:00"
"IE 802","N. Hemachandra","5","12","12A-LT 204-17:30:00-18:55:0012B-LT 204-17:30:00-18:55:00"
"IE 802","V. Narayanan","5","12","12B-LT 204-17:30:00-18:55:0012A-LT 204-17:30:00-18:55:00"
"IES801","Veeraruna Kavitha","3","",""
"ITALIAN CLASS","","","",""
"ITALIAN CLASSES- DEAN IR","","","",""
"JAPANESE CLASS","","","",""
"JAPANESE CLASSES- DEAN IR","","","",""
"MA 105","Sandip Singh","243","1","1B-LA 102-09:30:00-10:25:001A-LA 102-08:30:00-09:25:001C-LA 102-10:35:00-11:30:00"
"MA 105","Verma J.K.","222","8","8B-LA 102-14:00:00-15:25:008A-LA 102-14:00:00-15:25:00"
"MA 105","Ravi Raghunathan","236","8","8B-LA 101-14:00:00-15:25:008A-LA 101-14:00:00-15:25:00"
"MA 105","","","","X1-LT 301-14:00:00-15:00:00X1-LT 302-14:00:00-15:00:00X1-LT 303-14:00:00-15:00:00X1-LT 202-14:00:00-15:00:00X1-LT 203-14:00:00-15:00:00X1-LT 304-14:00:00-15:00:00X1-LT 305-14:00:00-15:00:00X1-LT 306-14:00:00-15:00:00X1-LT 205-14:00:00-15:00:00X1-LT 206-14:00:00-15:00:003A-LT 301-10:35:00-11:30:003A-LT 302-10:35:00-11:30:003A-LT 303-10:35:00-11:30:003A-LT 202-10:35:00-11:30:003A-LT 203-10:35:00-11:30:003A-LT 304-10:35:00-11:30:003A-LT 305-10:35:00-11:30:003A-LT 306-10:35:00-11:30:003A-LT 205-10:35:00-11:30:003A-LT 206-10:35:00-11:30:00"
"MA 105","Ravi Raghunathan","236","1","1C-LA 101-10:35:00-11:30:001B-LA 101-09:30:00-10:25:001A-LA 101-08:30:00-09:25:00"
"MA 106","Rana I.K.","44","5","5A-MA-G06-09:30:00-10:55:005A-MA-G06-09:30:00-10:55:00"
"MA 106","101035 - Inder Kumar Rana","","","XD-LC 001-19:00:00-20:25:00"
"MA 108","Ranjan Akhil","42","5","5B-LC 001-09:30:00-10:55:005A-LC 001-09:30:00-10:55:00"
"MA 108","101034 - Akhil  Ranjan","","","XD-LT 004-19:00:00-20:25:00XD-LT 005-19:00:00-20:25:00"
"MA 205","Sudarshan Gurjar","188","12","12B-LA 301-17:30:00-18:55:0012A-LA 301-17:30:00-18:55:00"
"MA 205","I15214 - Sudarshan Gurjar","","","14A-LT 001-17:30:00-18:55:0014A-LT 002-17:30:00-18:55:0014A-LT 003-17:30:00-18:55:0014A-LT 004-17:30:00-18:55:0014A-LT 005-17:30:00-18:55:0014A-LT 006-17:30:00-18:55:00"
"MA 207","Ronnie M. Sebastain","117","12","12A-LA 302-17:30:00-18:55:0012B-LA 302-17:30:00-18:55:00"
"MA 207","Manoj Kumar keshari","230","12","12B-LA 301-17:30:00-18:55:0012A-LA 301-17:30:00-18:55:00"
"MA 207","Ronnie M. Sebastain","130","12","12B-LA 302-17:30:00-18:55:0012A-LA 302-17:30:00-18:55:00"
"MA 207","I05073 - Manoj Kumar Keshari","","","XC-LT 104-17:30:00-18:55:00XC-LT 105-17:30:00-18:55:00XC-LT 106-17:30:00-18:55:0014A-LT 303-17:30:00-18:55:0014A-LT 304-17:30:00-18:55:0014A-LT 305-17:30:00-18:55:0014A-LT 306-17:30:00-18:55:0014A-LT 001-17:30:00-18:55:0014A-LT 002-17:30:00-18:55:0014A-LT 003-17:30:00-18:55:0014A-LT 004-17:30:00-18:55:0014A-LT 005-17:30:00-18:55:0014A-LT 006-17:30:00-18:55:0014A-LT 301-17:30:00-18:55:0014A-LT 302-17:30:00-18:55:00"
"MA 207","I16090 - Ronnie M. Sebastain","","","XC-LT 104-17:30:00-18:55:00XC-LT 105-17:30:00-18:55:00XC-LT 106-17:30:00-18:55:0014A-LT 303-17:30:00-18:55:0014A-LT 304-17:30:00-18:55:0014A-LT 305-17:30:00-18:55:0014A-LT 001-17:30:00-18:55:0014A-LT 002-17:30:00-18:55:0014A-LT 003-17:30:00-18:55:0014A-LT 004-17:30:00-18:55:0014A-LT 005-17:30:00-18:55:0014A-LT 006-17:30:00-18:55:0014A-LT 301-17:30:00-18:55:0014A-LT 302-17:30:00-18:55:0014A-LT 306-17:30:00-18:55:00"
"MA 401","Ananthnarayan Hariharan","33","6","6A-LT 303-11:05:00-12:30:006B-LT 303-11:05:00-12:30:00"
"MA 401","I12127 - Ananthnarayan Hariharan","","","9A-MA-114-15:30:00-16:55:00"
"MA 401 - Linear Algebra","","","",""
"MA 403","Kulkarni Rekha P.","35","1","1C-MA-118-10:35:00-11:30:001A-MA-118-08:30:00-09:25:001B-MA-118-09:30:00-10:25:00"
"MA 403","I03139 - Ameer Athavale","","","XC-MA-113-17:30:00-18:55:00"
"MA 403","Ameer Athavale","32","5","5B-MA-113-09:30:00-10:55:005A-MA-113-09:30:00-10:55:00"
"MA 403","101036 - Rekha P. Kulkarni","","","7A-MA-113-08:30:00-09:25:00"
"MA 403 REAL ANALYSIS","","","",""
"MA 417","S.Baskar","31","8","8A-MA-114-14:00:00-15:25:008B-MA-114-14:00:00-15:25:00"
"MA 417","I06084 - S Baskar","","","9B-MA-114-15:30:00-16:55:00"
"MA 419","Garge Shripad M.","35","5","5B-MA-114-09:30:00-10:55:005A-MA-114-09:30:00-10:55:00"
"MA 419","I07180 - Shripad M. Garge","","","XC-MA-114-17:30:00-18:55:00"
"MA 419","Garge Shripad M.","18","5","5A-MA-114-09:30:00-10:55:005B-MA-114-09:30:00-10:55:00"
"MA 503","Bata K. Das","36","10","10B-MA-113-14:00:00-15:25:0010A-MA-113-14:00:00-15:25:00"
"MA 503","I15185 - Bata K. Das","","","7A-MA-118-08:30:00-09:25:00"
"MA 503-T FUNCTIONAL ANALYSIS","","","",""
"MA 5101 ALGEBRA - II","","","",""
"MA 5102 BASIC ALGEBRAIC TOPOLOGY","","","",""
"MA 5109 GRAPH THEORY","","","",""
"MA 515","Pani A.K.","32","2","2C-MA-210-11:35:00-12:30:002B-MA-210-10:35:00-11:30:002A-MA-210-09:30:00-10:25:00"
"MA 515","101037 -  A.K.Pani","","","7B-MA-114-08:30:00-09:25:00"
"MA 521","Prachi Mahajan","25","8","8B-MA-118-14:00:00-15:25:008A-MA-118-14:00:00-15:25:00"
"MA 523","Preeti Raman","27","4","4C-MA-113-09:30:00-10:25:004A-MA-113-11:35:00-12:30:004B-MA-113-08:30:00-09:25:00"
"MA 533","Srikanth Srinivasan","12","9","9A-MA-118-15:30:00-16:55:009B-MA-118-15:30:00-16:55:00"
"MA 538","K. Sivasubramanian","5","1","1A-MA-113-08:30:00-09:25:001B-MA-113-09:30:00-10:25:001C-MA-113-10:35:00-11:30:00"
"MA 556","U.K.Anandavardhanan","0","6","6B-MA-114-11:05:00-12:30:006A-MA-114-11:05:00-12:30:00"
"MA 792","Santanu Dey","21","2","2A-MA-113-09:30:00-10:25:002C-MA-113-11:35:00-12:30:002B-MA-113-10:35:00-11:30:00"
"MA 792","Ghorpade S.R.","21","2","2B-MA-113-10:35:00-11:30:002C-MA-113-11:35:00-12:30:002A-MA-113-09:30:00-10:25:00"
"MA 811","Puthenpurakal J Tony","9","3","3B-MA-113-11:35:00-12:30:003C-MA-113-08:30:00-09:25:003A-MA-113-10:35:00-11:30:00"
"MA 813","Sourav Pal","19","14","14B-MA-113-17:30:00-18:55:0014A-MA-113-17:30:00-18:55:00"
"MA 815","Shastri A.R.","5","9","9B-MA-113-15:30:00-16:55:009A-MA-113-15:30:00-16:55:00"
"MA 817","Sivaji Ganesh S.","11","6","6A-MA-118-11:05:00-12:30:006B-MA-118-11:05:00-12:30:00"
"MA 821","Vellaisamy P.","0","11","11A-MA-113-15:30:00-16:55:0011B-MA-113-15:30:00-16:55:00"
"MA 833","Koushik Saha","0","8","8A-MA-113-14:00:00-15:25:008B-MA-113-14:00:00-15:25:00"
"MA 843","G. K. Srinivasan","6","13","13A-MA-113-19:00:00-20:25:0013B-MA-113-19:00:00-20:25:00"
