"Course Code","Course Instructor","Registered Students","Exam slot","Data"
"CE 632","S. Dasaka Murthy","16","6","6A-CE-228-11:05:00-12:30:006B-CE-228-11:05:00-12:30:00"
"CE 641","Singh D.N.","20","3","3A-SIB201-10:35:00-11:30:003C-SIB201-08:30:00-09:25:003B-SIB201-11:35:00-12:30:00"
"CE 643","Santiram Chatterjee","11","","LX-CEAG08-14:00:00-16:55:00"
"CE 645","Viswanadham B.V.S.","17","5","5B-CE-206-09:30:00-10:55:005A-CE-206-09:30:00-10:55:00"
"CE 647","Choudhury Deepankar","12","14","14A-CE-228-17:30:00-18:55:0014B-CE-228-17:30:00-18:55:00"
"CE 653","Ghosh Siddhartha","22","9","9A-CE-209-15:30:00-16:55:009B-CE-209-15:30:00-16:55:00"
"CE 675","M.J.Reddy","14","LX","LX--14:00:00-16:55:00"
"CE 680","Deo M.C.","11","3","3B-CE-206-11:35:00-12:30:003A-CE-206-10:35:00-11:30:003C-CE-206-08:30:00-09:25:00"
"CE 701","Raaj Ramsankaran","14","12","12B-CE-206-17:30:00-18:55:0012A-CE-206-17:30:00-18:55:00"
"CE 701","Rao E.P.","14","12","12B-CE-206-17:30:00-18:55:0012A-CE-206-17:30:00-18:55:00"
"CE 706","Manasa R. Behera","8","LX","LX--14:00:00-16:55:00"
"CE 706","R. Balaji","8","LX","LX--14:00:00-16:55:00"
"CE 712","J. Indu","104","13","13A-LC 102-19:00:00-20:25:0013B-LC 102-19:00:00-20:25:00"
"CE 713","Prakash Nanthagopalan","19","1","1C-CE-206-10:35:00-11:30:001A-CE-206-08:30:00-09:25:001B-CE-206-09:30:00-10:25:00"
"CE 717","Venkata S. Delhi","12","2","2C-CE-206-11:35:00-12:30:002B-CE-206-10:35:00-11:30:002A-CE-206-09:30:00-10:25:00"
"CE 717","I15048 - Venkata S. Delhi","","","8B-SMA210-14:00:00-15:25:009B-SMA210-15:30:00-16:55:00"
"CE 718","Muhammad Salman","20","LX","LX--14:00:00-16:55:00"
"CE 720","Sauvik Banerjee","30","1","1A-SMAG11-08:30:00-09:25:001C-SMAG11-10:35:00-11:30:001B-SMAG11-09:30:00-10:25:00"
"CE 727","Muhammad Salman","23","3","3C-CE-209-08:30:00-09:25:003A-CE-209-10:35:00-11:30:003B-CE-209-11:35:00-12:30:00"
"CE 729","Cyrus  M. Dordi","24","6","6A-CE-233-11:05:00-12:30:006B-CE-233-11:05:00-12:30:00"
